@id,amenity,name,religion,type,@geometry,latitude,longitude,building,denomination,wheelchair,addr:housenumber,addr:postcode,addr:state,addr:street,addr:suburb,fax,phone,service_times,website,name:pl,name:en,name:zh,landuse,branch,brand,brand:wikidata,short_name,addr:unit,building:levels,building:material,height,roof:colour,roof:material,roof:shape,identifiable_factor:age,identifiable_factor:cultural_significance,identifiable_factor:historical_significance,identifiable_factor:shape,identifiable_factor:size,identifiable_factor:type,identifiable_factor:visibility,image,landmark:name,name:fr,name:ko,roof:height,source,wikidata,wikipedia,alt_name,basilica,ref:dove,wikimedia_commons,landmark:property,check_date,area,church,email,name:de,created_by,operator,operator:wikidata,barrier,layer,addr:country,source:name,ref,addr:city,source:date,note,roof:levels,tourism,attribution,name:uk,opening_hours,building:colour,source:location,addr:full,fixme,source:geometry,historic,addr:street:corner,disused,contact:facebook,name:hr,access,brand:wikipedia,addr:housename,url,addr:place,addr:floor,air_conditioning,internet_access,level,heritage,loc_name,nat_name,polling_station,source:addr,architect,construction_date,description,year_of_construction,contact:email,contact:fax,contact:phone,contact:website,name:el,name:vi,name:tr,start_date,place_of_worship,old_name,ruins,addr:housenumber:source,pentecostal,tomb,source:amenity,source:building,ele,bicycle,source:religion,wheelchair:description,name:he,alt_name:ur,capacity,name:ur,contact:instagram,operator:wikipedia,official_name,changing_table,changing_table:location,baby_feeding,toilets,building:architecture,website:photo,source_ref:name,alt_name:en,name:ro,loc_name:en,name:zh-Hans,name:zh-Hant,colour,roof:direction,material,smoking,smoking:outdoors,disused:amenity,heritage:operator,heritage:website,old_name:1866-1933,old_name:1933-1994,old_name:1994-2024,ref:nswhr,source:start_date,boundary,building:facade:material,building:use,education,man_made,source:na,mobile,name:etymology:wikidata,name:etymology:wikipedia,abandoned,deanery,diocese,designation,phone:AU,source_ref,religion:wikidata,contact:wechat,contact:pobox,long_name,parish,name:signed,construction,pastor,source:address,noname,building_status,proposed,addr:village,name:etymology,office,start_date:railway,damaged,flickr,note_2,minister,roof:orientation,name:hi,addr:district,old_website,tower:type,nohousenumber,was:name,name:sr,operator:type,name:mk,name:es,closed,denomination:wikidata,management,memorial,memorial:conflict,old_name:-1977,contact:youtube,payment:cards,payment:cash,payment:credit_cards,payment:debit_cards,old_denomination,facebook,operator:website,name:sq,name_1,note:denomination,architect:1837,architect:1862,architect:1875,addr:locality,place:hamlet,natural,emergency,alt_addr:suburb,contact:twitter,parking,delivery,drive_through,inscription,name:ar,addr:interpolation,brand:website,check_date:currency:XBT,currency:XBT,payment:lightning,payment:lightning_contactless,payment:onchain
node/12526061982,place_of_worship,Brisbane South Samoan,christian,,,-27.57706,152.9811169,,jehovahs_witness,,20,4077,QLD,Freeman Road,Durack,,,,https://www.jw.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/12526062392,place_of_worship,Guru Nanak Sikh Temple,sikh,,,-27.5799916,152.9749476,,,,16,4077,QLD,Rosemary Street,Inala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brisbane City Council,,,,,,,,,,,,,,,,,,,,,Brisbane,2018-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/12531476776,place_of_worship,St Maximilian Kolbe Catholic Parish,christian,,,-27.6749464,153.0914918,,,,26-38,4132,QLD,Macarthy Road,Marsden,,,,http://www.kingstonmarsdenparish.org.au/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/12531540758,place_of_worship,St Ann’s Anglican Church,christian,,,-35.2702501,138.4836309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/12533789528,place_of_worship,Wat Thai Buddharam,buddhist,,,-27.656001,153.0015357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/12542997132,place_of_worship,Mount Gambier Presbyterian Church,christian,,,-37.8071689,140.78943,,presbyterian,,20,,SA,Allison Street,Mount Gambier,,,9.30am & 5.30pm,https://mountgambier.church/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/12586143335,place_of_worship,City West Church,christian,,,-34.918991,138.5732792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/12591613149,place_of_worship,,christian,,,-33.8335298,151.1856736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/12600446014,place_of_worship,St Philips Campsie Uniting Church,christian,,,-33.913019,151.1047925,,uniting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/12605463926,place_of_worship,Molong Uniting Church,christian,,,-33.091847,148.8657924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/12606213094,place_of_worship,Peace Memorial Uniting Church,christian,,,-33.5643162,148.6632055,,uniting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/12607890004,place_of_worship,The Salvation Army Cowra,christian,,,-33.8362244,148.6885801,,salvation_army,,,,,,,,+61 2 6341 1313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/12609139415,place_of_worship,Boorowa Uniting Church,christian,,,-34.4351503,148.7254252,,,,42,2586,NSW,Farm Street,Boorowa,,+61 410 506 173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/12612261992,place_of_worship,Merredin Church of Christ,christian,,,-31.4872446,118.2807772,,church_of_christ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
