SA2_CODE_2021,Buddhism_P,Christianity_Tot_P,Other_Religions_Tot_P,Hinduism_P,Islam_P,Judaism_P,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_P,Total_P_Ex,Buddhism_Percent,Christian_Percent,Other_Religions_Percent,Hinduism_Percent,Islam_Percent,Judaism_P,No_Religion_Percent,,,Tot_P
506061142,155,7441,577,462,360,0,10358,1116,19355,0.80082666,38.44484629,2.981141824,2.386980108,1.8599845,1.8599845,53.51588737,,,20471
506061143,48,3039,29,7,24,0,3562,455,6710,0.715350224,45.29061103,0.43219076,0.104321908,0.357675112,0.357675112,53.08494784,,,7165
506061144,61,1744,14,0,5,3,2030,749,3858,1.581130119,45.20476931,0.362882322,0,0.129600829,0.129600829,52.61793675,,,4607
506071145,434,5981,80,298,366,25,6324,1075,13500,3.214814815,44.3037037,0.592592593,2.207407407,2.711111111,2.711111111,46.84444444,,,14575
506071146,493,5576,119,210,422,12,4132,695,10958,4.498996167,50.88519803,1.085964592,1.916408104,3.851067713,3.851067713,37.70761088,,,11653
506071147,426,7342,144,335,280,56,7493,1149,16077,2.649748087,45.66772408,0.895689494,2.083722087,1.741618461,1.741618461,46.60695403,,,17226
507011148,511,9055,237,835,427,17,9730,933,20813,2.455196272,43.50646231,1.138711382,4.01191563,2.051602364,2.051602364,46.74962764,,,21746
507011150,0,6,0,0,0,0,6,3,18,0,33.33333333,0,0,0,0,33.33333333,,,21
507011151,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,0
507011152,70,5680,36,23,79,3,3292,632,9184,0.762195122,61.8466899,0.391986063,0.25043554,0.860191638,0.860191638,35.84494774,,,9816
507011153,125,3399,68,63,99,9,4122,615,7888,1.584685598,43.09077079,0.862068966,0.798681542,1.255070994,1.255070994,52.25659229,,,8503
507011154,183,4238,73,67,134,25,5596,1017,10310,1.774975752,41.1057226,0.708050436,0.64985451,1.29970902,1.29970902,54.27740058,,,11327
507011155,0,3,0,0,0,0,4,3,7,0,42.85714286,0,0,0,0,57.14285714,,,10
507011158,28,1888,14,19,31,7,1537,218,3523,0.794777179,53.59068975,0.397388589,0.539313085,0.879931876,0.879931876,43.62759012,,,3741
507011159,233,4817,91,146,224,0,5396,825,10898,2.138006974,44.20077078,0.835015599,1.339695357,2.055423013,2.055423013,49.51367223,,,11723
507011160,133,6009,43,49,103,19,4246,673,10595,1.255309108,56.71543181,0.405851817,0.462482303,0.972156678,0.972156678,40.07550731,,,11268
507011161,435,7425,207,709,441,12,7385,847,16607,2.619377371,44.71006202,1.246462335,4.269284037,2.655506714,2.655506714,44.46919974,,,17454
507011163,95,3649,24,37,62,7,3336,424,7207,1.318162897,50.63133065,0.333009574,0.51338976,0.860274733,0.860274733,46.28833079,,,7631
507011259,97,5088,52,91,83,6,4178,532,9596,1.010837849,53.02209254,0.541892455,0.948311797,0.864943727,0.864943727,43.53897457,,,10128
507011260,81,1353,39,21,32,3,822,97,2349,3.448275862,57.59897829,1.660280971,0.893997446,1.362281822,1.362281822,34.9936143,,,2446
507021164,65,3270,50,22,17,5,3878,509,7310,0.889192886,44.73324213,0.683994528,0.300957592,0.23255814,0.23255814,53.0506156,,,7819
507021165,218,5468,75,53,85,58,9299,1462,15258,1.428758684,35.836938,0.491545419,0.347358763,0.557084808,0.557084808,60.94507799,,,16720
507021166,196,5480,90,56,110,37,8274,1124,14248,1.375631668,38.46153846,0.631667602,0.393037619,0.772038181,0.772038181,58.07130825,,,15372
507021167,3,0,0,0,0,0,7,0,5,60,0,0,0,0,0,140,,,5
507031169,273,7295,823,883,349,6,7261,1075,16878,1.617490224,43.22194573,4.876170162,5.231662519,2.067780543,2.067780543,43.02050006,,,17953
507031170,88,2656,63,42,91,0,3699,798,6636,1.32610006,40.02411091,0.949367089,0.632911392,1.371308017,1.371308017,55.74141049,,,7434
507031172,0,25,0,0,0,0,47,7,68,0,36.76470588,0,0,0,0,69.11764706,,,75
507031173,0,8,0,0,0,0,11,0,24,0,33.33333333,0,0,0,0,45.83333333,,,24
507031174,149,4257,88,168,169,3,5469,976,10310,1.445198836,41.2900097,0.853540252,1.629485936,1.639185257,1.639185257,53.04558681,,,11286
