Buddhism_P,Christianity_Tot_P,Other_Religions_Tot_P,Hinduism_P,Islam_P,Judaism_P,Tot_P,Christian_Percent,SA2_CODE_2021
109,4951,39,23,23,30,11957,41.40670737,107041148
154,10173,67,48,127,15,20761,49.00052984,107041150
351,6771,102,349,600,29,16020,42.2659176,107041548
316,7539,137,380,712,7,16551,45.55011782,107041549
24,2688,19,6,5,0,5235,51.34670487,108011151
103,8144,40,94,45,4,14709,55.3674621,108011152
61,3111,35,11,7,16,6988,44.51917573,108011153
64,3823,19,33,11,0,6376,59.95922208,108011154
63,7595,94,34,22,5,15654,48.51795068,108021155
74,4451,37,5,13,6,9472,46.99113176,108021156
38,2627,66,20,8,14,5189,50.62632492,108021157
66,3394,46,30,7,12,7111,47.72887076,108021158
88,3506,71,45,7,3,8102,43.27326586,108021159
36,2907,8,18,0,3,5628,51.65245203,108021160
4,173,0,0,0,0,445,38.87640449,108031161
115,10282,55,30,17,15,18484,55.62648777,108041162
164,11232,149,219,81,17,21147,53.11391687,108041164
21,2653,17,0,9,3,5301,50.04716091,108041165
70,6836,36,0,21,3,12796,53.42294467,108041166
109,5618,53,89,49,12,11764,47.75586535,108041619
125,9834,42,47,34,13,17284,56.89655172,108041620
30,3039,25,11,4,3,5310,57.23163842,108051167
107,6502,44,21,12,11,12476,52.11606284,108051168
131,10958,93,89,90,13,21123,51.87710079,108051169
67,6767,50,13,17,8,13044,51.8782582,108051170
25,2808,21,7,8,0,5395,52.04819277,108051171
169,8852,168,324,35,19,17831,49.64387864,109011172
96,4882,188,227,55,5,10527,46.37598556,109011173
79,5106,149,140,51,16,10519,48.54073581,109011174
35,7318,16,38,16,3,12507,58.51123371,109011175
117,7132,378,578,186,0,15665,45.52824769,109011176
15,1768,26,19,9,0,2897,61.02865033,109021177
43,2881,18,12,21,0,6511,44.24819536,109021178
54,1772,8,9,18,0,3648,48.5745614,109021179
24,3103,13,12,19,0,5595,55.46023235,109031180
22,3882,7,7,9,3,7262,53.45634811,109031181
29,3554,24,34,6,0,7038,50.49730037,109031182
31,3389,8,6,13,0,6837,49.56852421,109031183
54,3604,23,19,7,3,6930,52.00577201,109031184
24,5322,45,25,22,9,9778,54.42830845,109031185
291,10647,751,440,365,26,23967,44.42358243,110011186
12,2584,15,0,4,0,4527,57.07974376,110011187
52,3136,35,0,16,6,5894,53.20665083,110011188
8,1936,11,0,0,0,3144,61.57760814,110011189
38,4996,62,52,19,12,8931,55.93998432,110021190
42,6919,29,44,24,8,12057,57.38575102,110021191
19,2930,18,0,0,0,5200,56.34615385,110021192
14,3699,14,3,7,0,5734,64.5099407,110021193
52,3575,32,25,8,0,6810,52.49632893,110021194
51,4451,29,50,22,0,7845,56.73677502,110031195
8,2694,38,0,8,0,5356,50.2987304,110031196
30,4084,23,31,14,0,6898,59.20556683,110031197
6,2748,3,4,10,0,4616,59.53206239,110031198
37,5472,21,22,11,0,9745,56.15187276,110041199
14,2538,8,0,8,3,4369,58.09109636,110041200
20,4443,45,24,4,0,7551,58.83988876,110041201
167,12354,98,159,102,3,21360,57.83707865,110041202
148,9329,184,318,179,4,16517,56.48120119,110041203
33,2792,12,11,23,0,5998,46.54884962,110041204
51,11967,82,41,12,4,19038,62.85849354,110041205
94,9281,72,61,56,10,17864,51.9536498,111011206
39,2784,14,15,7,0,5680,49.01408451,111011207
218,11513,106,151,80,18,25254,45.58881761,111011208
178,11929,140,141,129,15,24588,48.51553603,111011209
71,4505,45,47,37,0,9504,47.40109428,111011210
14,1960,4,9,4,0,3785,51.78335535,111011211
78,6572,21,30,26,10,12559,52.32900709,111011212
66,6525,43,56,27,25,12568,51.91756843,111011213
133,7658,75,121,74,6,14694,52.11651014,111011214
77,4870,46,39,17,8,10135,48.05130735,111021215
60,4942,26,24,15,5,9691,50.99576927,111021216
